Codigo,Descripcion,Costo,Precio2,,
003005,"VALVULA DE PIE BRONCE DE 1 1/4""     NPT",65,79.3,,
003006,"VALVULA DE PIE BRONCE DE  3/4""     NPT",33.5,40.85,,
003007,"VALVULA DE PIE BRONCE DE 1""     NPT",49.5,60.4,,
003008,"CA151X-B   LLAVE COMPUERTA 3/4"" T-RED-W",43.5,53.1,,
003009,"F1277   LLAVE CHORRO BRONCE 1/2"" MANILA AZUL",32,39.05,,
003010,"F1259L   LLAVE CHORRO 1/2"" LIVIANO",17,20.75,,
003011,"9776   SIFON CESPOPRACTIK 1 1/2"" S/DESAGUE BLANCO",6.25,7.6,,
003012,"9770   SIFON CESPOPRACTIK 1 1/2"" C/DESAGUE BLANCO",14.5,17.7,,
003013,"MAMWC-CAA-040   MANGUERA REFORZ. METAL 7/8"" X 3/8",12.5,15.25,,
003014,"MAMWC-AAA-040   MANGUERA REFORZ. METAL 7/8"" X 1/2""",12.5,15.25,,
003015,"MAMME-BAA-040   MANGUERA REFORZ. METAL 1/2"" X 3/8",12.5,15.25,,
003016,"MAMME-AAA-040   MANGUERA REFORZ. METAL 1/2"" X 1/2""",12.5,15.25,,
003017,PICHACHA BRONCE DE 1PLG.    «CONTI»,35,46.25,,
003018,TC2283   LLAVE CHORRO DE 1/2 CROMADA,19.68,26,,
003019,TC0866   LLAVE CHORRO DE 1/2 NIQUELADA,9.88,13.04,,
003020,TC0864   LLAVE CHORRO ROSCADA DE 1/2,13.19,17.45,,
003021,"TC0865   LLAVE JARDIN C/ROSCA DE 3/4""",25.5,33.65,,
003022,"ADAPTADOR HEMBRA PVC DE 1/2""",1.92,2.55,,
003023,"ADAPTADOR HEMBRA PVC DE  2""",4.68,6.2,,
003024,"REDUCIDOR PVC DE 2 A 1""",6.93,9.15,,
003025,"LLAVE DE BOLA 2""  200 WOG ITALY",128.3,169.4,,
003026,"LLAVE DE BOLA 2""  RED WHITE 400 WOG",139.8,184.55,,
003027,"MANGUERA FLEX. DE VINIL 25"" P/LAVAM.  1/2"" X 1/2"" CONEC. ALUMINIO",8.5,11.25,,
003028,"MANGUERA FLEX. DE VINIL 25"" P/LAVAM.  1/2"" X 7/8"" CONEC. ALUM/PLAST.",8.5,11.25,,
003029,"MANGUERA FLEX. DE VINIL 15"" P/LAVAM. 1/2"" X  1/2"" CONEC. ALUMINIO",6.75,8.95,,
003030,"MANGUERA FLEX. DE VINIL 15"" P/LAVAM. 1/2"" X 7/8"" CONEC. ALUM/PLAST.",6.75,8.95,,
003031,"MANGUERA FLEX. METAL 15"" P/LAVAM. 1/2"" X 1/2"" CONEC. BRONCE",11.5,15.2,,
003032,"MANGUERA FLEX. METAL 15"" P/SANIT. 3/8"" X 7/8"" CONEC. BRONCE/PLAST.",11.5,15.2,,
003033,"CHEQUE DE BRONZE HORIZONTAL 3""",521.4,640,,
003034,MANGUERA P/AGUA REFORZADA DE 1/2 X 25FT.    «AQUAFLEX»,50,66,,
003035,"CHEQUE DE BRONZE VERTICAL 1""",40,40,,
003036,"49089   LLAVE CHORRO BRONCE 1/2""    «FOSET»",20.46,27,,
003037,MANGUERA FLEXIBLE 50CMS. P/BOMBA    «GIO»,51,67.5,,
098001,82003   VISOR CON OREJERAS               «SHINDAIWA»,229.08,297.8,,
099001,"RODO GIRATORIO 10""   NEUMATICO",375,453.75,,
099002,"RODO FIJO 10""   NEUMATICO",275,332.75,,
099003,CONECTOR PARA FLIPON JXD,48.72,63.34,,
099004,TAZA PROMOCIONAL,0.001,0.001,,
099005,521403   TOLDO PLEGADIZO 3X3M EA,1399.95,1749.95,,
099006,CLAVO ACERADO DE 1 PLG.,0.03,0.05,,
099007,CLAVO ACERADO DE 1 1/2 PLG.,0.08,0.15,,
099008,CLAVO ACERADO DE 2 1/2 PLG.,0.24,0.35,,
099009,CLAVO ACERADO DE 1 PLG.    «TOOLCRAFT»,0.11,0.15,,
099010,CLAVO ACERADO DE 1 1/2 PLG.    «TOOLCRAFT»,0.11,0.15,,
099011,CLAVO ACERADO DE 2 PLG.    «TOOLCRAFT»,0.17,0.25,,
099012,PLUMILLA # 21 P/CARRO,33.6,40,,
099013,PLUMILLA # 14 P/CARRO,33.6,40,,
099014,"PLUMILLA AEROFIT 16""                  «BOSCH»",73.5,97,,
099015,"REMACHE ALUMINIO POP 1/8 X 3/8""    «BEST VALUE»",0.05,0.1,,
099016,"REMACHE ALUMINIO POP 3/16 X 1""    «BEST VALUE»",0.18,0.25,,
099017,"REMACHE ALUMINIO POP 3/16 X 1"" CAB. ANCHA    «BEST VALUE»",0.32,0.45,,
099018,"REMACHE ALUMINIO POP 3/16 X 5/8""    «BEST VALUE»",0.13,0.2,,
099019,"REMACHE ALUMINIO POP 5/32 X 1/4""    «BEST VALUE»",0.06,0.1,,
099020,K-800   KIT EDUCATIVO ELECTRONICO    «STEREN»,158.8,198.5,,
099021,REPELENTE ELECTRONICO UNIDAD AHUYENTADORA DE PLAGA -STEREN-,156.8,207,,
099022,K-570 KIT ROBOT INTERCAMBIABLE 3 EN 1 -STEREN-,347.2,458.5,,
099023,"PLUMILLA AEROFIT 19""          «BOSCH»",55,72.6,,
099024,"PLUMILLA AEROFIT 23""          «BOSCH»",65,85.8,,
099025,"PLUMILLA AEROFIT 18""         «BOSCH»",55,72.6,,
099026,"PLUMILLA AEROFIT 21""           «BOSCH»",55,72.6,,
099027,"CLAVO ACERADO DE 2""     «PRETUL»",0.07,0.1,,
101001,ABRAZADERA DUCTON DE 1/2,0.25,0.35,,
101002,ABRAZADERA DUCTON DE 3/4,0.36,0.5,,
101003,ABRAZADERA DUCTON DE   1,0.61,0.85,,
101004,ABRAZADERA DUCTON DE 1 1/4,1.25,1.65,,
101005,ABRAZADERA CONDUIT DE 1 1/2,1.71,2.25,,
101006,ABRAZADERA CONDUIT DE 2,2.15,2.85,,
101007,"44230   ABRAZADERA P/MANGUERA AB-04 DE 3/8 A 5/8""    «FIERO»",0.89,1.25,,
101008,"44233   ABRAZADERA P/MANGUERA AB-6 DE 1/2 A  3/4""    «FIERO»",2.62,3.45,,
101009,"44237   ABRAZADERA P/MANGUERA AB-16 DE 3/4 A 1 1/2""    «FIERO»",2.45,3.25,,
101010,"44239   ABRAZADERA P/MANGUERA AB-24 DE 1 1/4 A 2""    «FIERO»",2.58,3.45,,
101011,ABRAZADERA PARA MANGUERA 2,0.05,0.06,,
101012,ABRAZADERA HANGER DE 1/2,1.18,1.6,,
101013,ABRAZADERA HANGER DE 3/4,1.44,1.9,,
101014,ABRAZADERA HANGER DE 1,1.56,2.1,,
101015,ABRAZADERA HANGER DE 1 1/4,2.2,2.9,,
101016,ABRAZADERA HANGER DE 1 1/2,2.78,3.75,,
101017,ABRAZADERA HANGER DE    2,2.49,3.5,,
101018,ABRAZADERA HANGER DE   3,6.6,8.75,,
101019,ABRAZADERA CONDUIT DE 1 1/4,0.93,1.25,,
101025,ABRAZADERA P/TRANSF. # 115  SENCILLA,421.6,569.75,,
101026,ABRAZADERA P/TRANSF. # 215  DOBLE,384.38,510,,
101029,CINCHO AMARRE PLASTICO 7.5 NEGRO     <3M>,0.12,0.2,,
101030,CINCHO AMARRE PLASTICO 10/11  NEGRO    <3M>,0.34,0.5,,
101032,CINCHO AMARRE PLASTICO 11  BLANCO    <3M>,0.22,0.3,,
101033,CINCHO AMARRE PLASTICO 14  BLANCO    <3M>,0.24,0.35,,
101035,ABRAZADERA DE 1 1/4  P/ACOMETIDA,1.28,1.7,,
101036,ABRAZADERA CONDUIT DE  1/2,1.69,2.35,,
101037,ABRAZADERA CONDUIT DE 2 1/2,6.81,9,,
101038,ABRAZADERA P/TRANSF. 2 VIAS #6376,126.96,171.4,,
101039,CINCHO AMARRE PLASTICO 7    NEGRO     <3M>,0.17,0.25,,
101040,CINCHO AMARRE PLASTICO 10  NEGRO    «DEXON»,0.27,0.4,,
101041,12300  CINCHOS MULTIUSOS BOTE SURTIDO CIN-650  <TRUPER>,38.01,70,,
101042,CINCHO AMARRE PLASTICO 12/14  NEGRO    <3M>,0.41,0.55,,
101043,"CINCHO AMARRE PLASTICO 2.4MM. 7.5""    BLANCO   <MIYAKO>",0.27,0.4,,
101044,ABRAZADERA P/POSTE 1 VIA,37.54,49.5,,
101046,"ABRAZADERA P/POSTE 2 VIAS DE 8 A 10""",56.08,74,,
101047,FU0264   CINCHO AMARRE PLASTICO 14  BLANCO    «FULGORE»,0.23,0.35,,
101048,MODULO PARA MONTAJE DE3 TRANSF. # 315  TRIPLE,620,825,,
101050,CINCHO AMARRE PLASTICO 14  NEGRO    <DEXON>,0.37,0.5,,
101051,MODULO PARA MONTAJE DE 1 TRANSF. # 115,421.8,556.75,,
101052,ABRAZADERA UNICANAL 1 1/2 P/CONDUIT,7.28,9.6,,
101053,ABRAZADERA P/TRANSF. TRIPLE,620,825,,
101054,"ABRAZADERA DUCTON DOBLE OREJA 1/2""",0.55,0.75,,
101055,"ABRAZADERA DUCTON DOBLE OREJA 3/4""",0.84,1.15,,
101056,"CINCHO AMARRE PLASTICO 18"" BLANCO    «BEST VALUE»",0.83,1.15,,
101057,"CINCHO AMARRE PLASTICO 18"" NEGRO    «BEST VALUE»",0.83,1.15,,
101058,"CINCHO AMARRE PLASTICO 20""  NEGRO    «BEST VALUE»",1.03,1.5,,
101059,"CINCHO AMARRE PLASTICO 20""  BLANCO    «BEST VALUE»",1.03,1.5,,
101060,"CINCHO AMARRE PLASTICO 6""    NEGRO    «N.A.»",0.06,0.1,,
101061,"CINCHO AMARRE PLASTICO 6""  BLANCO    «N.A.»",0.06,0.1,,
101062,CINCHO AMARRE PLASTICO BOTE SURTIDO    «ROTTER»,52.36,69.25,,
101063,12325   CINCHO AMARRE PLASTICO 14 BLANCO    «TRUPER»,0.48,0.65,,
101064,ABRAZADERA HANGER DE  2 1/2,4.57,6.25,,
101065,"ABRAZADERA UNICANAL 2"" P/CONDUIT",8.35,11,,
101066,CINCHO AMARRE PLASTICO 12  BLANCO    «FULGORE»,0.22,0.3,,
101067,ABRAZADERA P/POSTE 2 VIAS DE 5 A 7 PLG.,68.73,90.75,,
101068,CINCHO AMARRE PLASTICO 75 PZS. COLORES    «BEST VALUE»,11.47,17.5,,
101069,CINCHO AMARRE PLASTICO 800PCS.    «MITZU»,47,62.25,,
101070,"CINCHO AMARRE PLASTICO 8"" NEGRO    «VOLTECH»",0.11,0.2,,
101071,"CINCHO AMARRE PLASTICO 12"" NEGRO    «BEST VALUE»",0.53,0.75,,
101072,"CINCHO AMARRE PLASTICO 6"" NEGRO    «BEST VALUE»",0.14,0.25,,
101073,"GRAPA PLASTICA C/CLAVO DE ACERO  4""    «BEST VALUE»",0.09,0.2,,
101074,"CINCHO AMARRE PLASTICO 14"" NEGRO    «BEST VALUE»",0.61,0.9,,
101075,CINCHO AMARRE PLASTICO 14  NEGRO    «FULGORE»,0.2,0.3,,
101076,CINCHO AMARRE PLASTICO 20 PULG.  NEGRO    <3M>,0.34,1,,
101077,CINCHO AMARRE PLASTICO 8PLG. BLANCO    «DEXON»,0.14,0.35,,
101078,"CINCHO AMARRE PLASTICO 12""  BLANCO    «DEXON»",0.32,0.45,,
101079,"CINCHO AMARRE PLASTICO 14"" BLANCO    «DEXON»",0.35,0.5,,
101080,M-03-4800   CAJA DE CINCHOS PLASTICOS 800 PCS,47,62,,
101081,"CINCHO AMARRE PLASTICO 24"" NATURAL",2,2.75,,
101082,"ACT-100-2 CINCHO PLASTICO 4"" TRANSP.       «ANCLO»",0.05,0.1,,
101083,M-03-4001   BOLSA DE CINCHOS PLASTICOS 70 PCS  «MITZU»,7,9.5,,
101084,"ABRAZADERA DUCTON DOBLE OREJA 1""",1.01,1.35,,
101085,"CINCHO AMARRE PLASTICO 4""  BLANCO    «DEXON»",0.05,0.1,,
101086,"CINCHO AMARRE PLASTICO 4""  NEGRO    «N.A.»",0.04,0.1,,
101087,"CINCHO AMARRE PLASTICO 12"" NEGRO    «N.A»",0.28,0.7,,
101088,44298  CINCHOS MULTIUSOS BOTE SURTIDO BCIN-650    «VOLTECH»,102.34,141.75,,
101089,"CINCHO AMARRE PLASTICO 4""  NEGRO    «DEXON»",0.06,0.1,,
101090,CINCHO AMARRE PLASTICO 14 NEGRO    «DEXON»,0,0,,
101091,"CINCHO AMARRE PLASTICO 14"" NEGRO    «N.A.»",0.36,0.5,,
101092,"CINCHO AMARRE PLASTICO 12"" BLANCO    «N.A.»",0.3,0.4,,
101093,"CINCHO AMARRE PLASTICO 12""  NEGRO    «DEXON»",0.35,0.5,,
101094,"ABRAZADERA UNICANAL DE 1""",2.41,3.25,,
101095,"CINCHO AMARRE PLASTICO 12"" BLANCO",0.14,0.2,,
101096,ABRAZADERA CONDUIT DE 3,7.03,9.25,,
101097,"CINCHO AMARRE PLASTICO 20""  NEGRO    «N.A.»",0.91,1.25,,
101098,"CINCHO AMARRE PLASTICO 18"" NEGRO    «N.A.»",0.47,0.65,,
101099,"ABRAZADERA HANGER DE  4""",10.1,13.35,,
101100,CINCHO AMARRE PLASTICO 100MM.  NEGRO    «VOLTECH»,0.05,0.1,,
101101,CINCHO AMARRE PLASTICO 150MM.  NEGRO    «VOLTECH»,0.05,0.1,,
101102,CINCHO AMARRE PLASTICO 200MM.  NEGRO    «VOLTECH»,0.11,0.2,,
101103,CINCHO AMARRE PLASTICO 300MM.  NEGRO    «VOLTECH»,0.28,0.4,,
101104,"ABRAZADERA UNICANAL DE 3/4""",2.41,3.25,,
101105,"CINCHO AMARRE PLASTICO 4""  BLANCO    «N.A.»",0.04,0.1,,
101106,"CINCHO AMARRE PLASTICO 22"" BLANCO    «DEXSON»",1.2,1.75,,
